 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
| 19.0/(FRExt)| 08-Ap | 21:44 |/SCVCD-NEW-tratest/2_2_00347_933x497.yuv|  150 |  0/0  | 42 | 42 | 42 | 933x497 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 31.214| 40.949| 41.284| 31.351| 40.706| 40.902|  37229|  39059|      0|    76330|       12636543   |       12474497   |
| 19.0/(FRExt)| 09-Ap | 08:34 |SCVCD-NEW-tratest/2_2_01270_1636x867.yuv|  150 |  0/0  | 22 | 22 | 22 |1636x867 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 48.477| 51.323| 50.410| 48.127| 50.850| 49.896| 440957|5918861|      0|  6359859|       38995752   |       38397132   |
| 19.0/(FRExt)| 09-Ap | 19:52 |SCVCD-NEW-tratest/2_2_01270_1636x867.yuv|  150 |  0/0  | 27 | 27 | 27 |1636x867 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 46.032| 49.759| 48.431| 45.478| 49.018| 47.676| 254763|3158069|      0|  3412874|       40653618   |       40065256   |
| 19.0/(FRExt)| 10-Ap | 06:54 |SCVCD-NEW-tratest/2_2_01270_1636x867.yuv|  150 |  0/0  | 32 | 32 | 32 |1636x867 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 43.046| 47.719| 46.232| 42.277| 46.863| 45.348| 154216|1770098|      0|  1924355|       39739320   |       39194655   |
| 19.0/(FRExt)| 10-Ap | 21:34 |SCVCD-NEW-tratest/2_2_01270_1636x867.yuv|  150 |  0/0  | 37 | 37 | 37 |1636x867 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 40.064| 46.153| 44.353| 39.125| 45.108| 43.322|  97656|1039266|      0|  1136963|       52770950   |       52090067   |
| 19.0/(FRExt)| 11-Ap | 11:30 |SCVCD-NEW-tratest/2_2_01270_1636x867.yuv|  150 |  0/0  | 42 | 42 | 42 |1636x867 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 36.391| 43.681| 41.614| 35.587| 42.656| 40.781|  59904| 603952|      0|   663898|       50197416   |       49575409   |
| 19.0/(FRExt)| 11-Ap | 20:50 |SCVCD-NEW-tratest/2_3_00127_1284x680.yuv|  150 |  0/0  | 22 | 22 | 22 |1284x680 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 43.174| 47.285| 46.502| 42.521| 46.371| 45.550|1592984|11076485|      0| 12669510|       33574296   |       33009682   |
| 19.0/(FRExt)| 12-Ap | 06:24 |SCVCD-NEW-tratest/2_3_00127_1284x680.yuv|  150 |  0/0  | 27 | 27 | 27 |1284x680 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 38.993| 44.240| 43.277| 38.243| 43.430| 42.401|1021816|5034736|      0|  6056594|       34433434   |       33907694   |
| 19.0/(FRExt)| 12-Ap | 15:22 |SCVCD-NEW-tratest/2_3_00127_1284x680.yuv|  150 |  0/0  | 32 | 32 | 32 |1284x680 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 34.952| 41.800| 40.784| 34.154| 41.084| 39.965| 646110|2004107|      0|  2650259|       32258669   |       31788147   |
| 19.0/(FRExt)| 12-Ap | 21:49 |SCVCD-NEW-tratest/2_3_00127_1284x680.yuv|  150 |  0/0  | 37 | 37 | 37 |1284x680 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 31.212| 39.622| 38.577| 30.634| 39.064| 37.919| 401202| 774342|      0|  1175586|       23233172   |       22891237   |
| 19.0/(FRExt)| 13-Ap | 04:21 |SCVCD-NEW-tratest/2_3_00127_1284x680.yuv|  150 |  0/0  | 42 | 42 | 42 |1284x680 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 27.387| 37.641| 36.609| 27.280| 37.117| 36.045| 236021| 324941|      0|   561003|       23505513   |       23177593   |
| 19.0/(FRExt)| 13-Ap | 15:54 |SCVCD-NEW-tratest/2_3_00281_1635x853.yuv|  150 |  0/0  | 22 | 22 | 22 |1635x853 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 47.253| 54.018| 53.951| 46.608| 53.412| 53.122| 674520|5702654|      0|  6377216|       41566462   |       40858930   |
| 19.0/(FRExt)| 14-Ap | 02:57 |SCVCD-NEW-tratest/2_3_00281_1635x853.yuv|  150 |  0/0  | 27 | 27 | 27 |1635x853 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 43.525| 52.046| 52.123| 42.805| 51.485| 51.269| 428298|2699562|      0|  3127901|       39699314   |       39183485   |
| 19.0/(FRExt)| 14-Ap | 14:08 |SCVCD-NEW-tratest/2_3_00281_1635x853.yuv|  150 |  0/0  | 32 | 32 | 32 |1635x853 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 39.940| 50.483| 50.573| 39.233| 49.968| 49.846| 273874|1287062|      0|  1560978|       40247830   |       39781950   |
| 19.0/(FRExt)| 15-Ap | 00:53 |SCVCD-NEW-tratest/2_3_00281_1635x853.yuv|  150 |  0/0  | 37 | 37 | 37 |1635x853 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 36.419| 48.345| 47.175| 35.978| 48.112| 47.031| 178718| 650494|      0|   829254|       38711366   |       38261955   |
